office_id,corresponding_id,alias,real_name,start,end
77,2822,deputy speaker,Henry Fitzroy,1855/07/20,1859/06/01
77,4259,deputy speaker,William Nathaniel Massey,1859/06/01,1865/02/01
77,4548,deputy speaker,John George Dodson,1865/02/01,1872/04/01
77,4051,deputy speaker,John Bonham Carter,1872/04/01,1874
77,5073,deputy speaker,Henry Cecil Raikes,1874,1880
77,4294,deputy speaker,Arthur John Otway,1833,1885
77,5575,deputy speaker,Leonard Henry Courtney,1866,1893
77,5693,deputy speaker,John William Mellor ,1893,1895
77,5885,deputy speaker,James William Lowther ,1895,1905/06/01
77,7671,deputy speaker,John Grant Lawson,1905,1906
77,7281,deputy speaker,Alfred Emmott,1906,1911
77,7961,deputy speaker,John Henry Whitley,1911,1921
