oh_id,member_id,office_id,start_date,end_date,in_cabinet,estimated_end_date,estimated_start_date
7924,1234,1,1830-11-22,1834-12-29,,1,0
7925,1234,5,,,,0,0
7926,2286,30,1834-01-01,1834-12-29,,1,1
7927,2286,1,1835-04-18,1839-08-26,1,0,0
7928,3134,41,1830-08-09,1833-12-31,,1,1
7929,3134,1,1839-08-26,1841-08-30,1,0,0
7930,3134,33,1849-01-15,1852-02-21,1,0,0
7931,1824,13,1834-01-01,1835-12-31,,1,1
7932,1824,1,1841-09-04,1846-06-29,1,0,0
7933,2432,7,1832-01-01,1834-12-31,,1,1
7934,2432,34,1835-04-27,1839-10-04,0,0,0
7935,2432,1,1846-07-06,1852-02-21,1,0,0
7936,2432,35,1852-12-30,1855-03-03,1,0,0
7937,2432,33,1855-03-13,1858-02-21,1,0,0
7938,2432,36,1859-06-18,1866-02-16,1,0,0
7939,2432,37,1870-07-06,1874-02-17,1,0,0
7940,3104,1,1873-08-11,1874-02-17,1,0,0
7941,3104,2,1880-04-23,1885-06-09,1,0,0
7942,3104,2,1868-12-03,1874-02-17,1,0,0
7943,3104,1,1852-12-30,1855-02-28,1,0,0
7944,3104,2,1892-08-15,1894-03-02,1,0,0
7945,3104,57,1834-01-01,1834-12-31,,1,1
7946,3104,13,1835-01-01,1835-12-31,,1,1
7947,3104,9,1841-09-03,1843-06-10,0,0,0
7948,3104,20,1845-01-01,1846-12-31,,1,1
7949,3104,6,1843-05-15,1845-02-05,1,0,0
7950,3104,1,1859-06-18,1866-06-26,1,0,0
7951,3523,1,1866-07-06,1868-02-29,1,0,0
7952,3523,2,1868-02-27,1868-12-01,1,0,0
7953,3523,2,1874-02-20,1880-04-21,1,0,0
7954,3523,1,1852-02-27,1852-12-17,1,0,0
7955,3523,1,1858-02-26,1859-06-11,1,0,0
7956,3948,17,1847-01-01,1848-12-31,,1,1
7957,3948,13,1848-01-01,1850-12-31,,1,1
7958,3948,1,1855-02-28,1858-02-21,1,0,0
7959,3948,19,1859-04-28,1861-12-31,,1,1
7960,4218,17,1852-01-01,1855-12-31,,1,1
7961,4218,9,1855-01-01,1855-03-31,,0,1
7962,4218,47,1859-04-28,1864-12-31,,1,1
7963,4218,1,1868-12-09,1873-08-11,1,0,0
7964,4218,19,1873-01-01,1874-01-26,,1,1
7965,4580,80,1866-01-01,1868-12-31,,1,1
7966,4580,1,1868-02-29,1868-12-01,1,0,0
7967,4580,33,1874-01-31,1874-01-26,,1,1
7968,4380,6,1866-07-06,1867-03-08,1,0,0
7969,4380,36,1867-03-08,1868-12-01,1,0,0
7970,4380,1,1874-02-21,1880-04-21,1,0,0
7971,4380,59,1885-06-24,1886-01-28,1,0,0
7973,4705,10,1864-01-01,1865-12-31,,1,1
7974,4705,66,1865-08-19,1866-06-26,0,0,0
7975,4705,33,1868-12-09,1871-03-24,1,0,0
7976,4705,39,1872-08-09,1873-09-30,1,0,0
7977,4705,1,1882-12-16,1885-06-09,1,0,0
7978,4705,19,1886-07-01,1886-12-31,,1,1
7979,4796,4,1868-01-01,1868-12-31,,1,1
7980,4796,32,1874-02-27,1878-02-15,1,0,0
7981,4796,20,1878-02-04,1880-04-21,1,0,0
7982,4796,1,1885-06-24,1886-02-06,,0,0
7983,4796,6,1888-02-21,1892-08-11,1,0,0
7984,4796,1,1895-06-29,1902-08-11,1,0,0
7985,4796,32,1886-01-01,1886-01-23,,0,1
7986,4796,52,1901-01-01,1906-12-31,,1,1
7987,4796,84,1885-06-24,1886-07-20,0,0,0
7988,5502,36,1885-06-24,1886-01-28,1,0,0
7989,5502,1,1886-08-03,1887-01-14,1,0,0
7990,5172,42,1873-01-01,1873-09-26,,0,1
7991,5172,91,1894-01-01,1898-12-31,,1,1
7992,5172,84,1892-08-18,1895-06-21,0,0,0
7993,5172,19,1880-03-31,1885-12-31,,1,1
7994,5172,1,1886-02-06,1886-07-20,1,0,0
7995,5172,1,1892-08-18,1895-06-21,1,0,0
7996,4774,9,1865-11-29,1866-03-12,0,0,0
7997,4774,39,1866-01-26,1866-06-26,1,0,0
7999,4774,33,1871-03-24,1874-02-17,1,0,0
8000,4774,33,1895-06-29,1900-11-12,1,0,0
8001,4774,1,1887-01-14,1892-08-11,1,0,0
8002,5641,75,1892-01-01,1894-12-31,,1,1
8003,5641,29,1886-02-10,1886-07-20,0,0,0
8004,5641,93,1892-01-01,1894-12-31,,1,1
8005,5641,37,1894-01-01,1894-03-10,,0,1
8007,5641,33,1905-01-01,1905-03-27,,0,1
8008,5641,23,1908-04-12,1908-10-13,1,0,0
8009,5485,34,1885-01-01,1886-12-31,,1,1
8010,5485,78,1886-07-01,1892-12-31,,1,1
8011,5485,6,1895-06-29,1900-11-12,1,0,0
8012,5485,19,1900-10-01,1902-12-31,,1,1
8013,5485,1,1902-08-11,1903-10-09,1,0,0
8014,7689,81,1895-07-06,1900-11-07,0,0,0
8015,7689,66,1900-11-07,1902-08-08,0,0,0
8016,7689,64,1902-08-11,1903-10-09,1,0,0
8017,7689,1,1903-10-09,1905-12-04,1,0,0
8018,7689,36,1915-05-25,1916-12-05,1,0,0
8019,7689,37,1921-03-23,1922-10-19,1,,
8020,7689,21,1924-10-29,1929-12-31,,1,1
8021,7689,1,1919-01-10,1921-04-01,1,0,
8022,7689,33,1931-10-27,1931-12-31,,1,1
8023,7689,22,1918-04-18,1919-01-10,1,0,
8024,7689,84,1921-03-23,1922-10-19,0,0,0
8025,6265,19,1892-07-04,1895-12-31,,1,1
8026,6265,1,1905-12-10,1908-04-12,1,0,0
8027,6265,2,1908-04-05,1915-05-25,1,0,0
8028,6265,53,1914-03-30,1914-08-05,1,0,0
8029,6405,52,1929-01-01,1945-12-31,,1,1
8031,6405,1,1908-04-12,1915-05-25,1,0,0
8032,6405,100,1915-05-25,1916-07-09,1,0,0
8033,6405,53,1916-07-06,1916-12-05,1,0,0
8034,6405,2,1916-12-06,1922-10-19,1,,0
8035,7806,66,1905-12-12,1907-01-29,0,0,0
8036,7806,79,1907-01-23,1908-04-12,1,0,0
8037,7806,33,1908-04-12,1911-10-23,1,0,0
8038,7806,19,1911-01-01,1915-12-31,,1,1
8039,7806,1,1915-05-25,1916-12-05,1,0,0
8040,7952,4,1902-01-01,1905-12-31,,1,1
8041,7952,91,1911-01-01,1915-12-31,,1,1
8042,7952,20,1915-05-25,1916-12-05,1,0,0
8043,7952,1,1916-12-10,1919-01-10,1,,
8044,7952,37,1919-01-10,1921-03-23,1,,
8045,7952,2,1922-10-23,1923-05-21,1,0,0
8046,7952,84,1916-12-10,1921-03-23,0,0,0
8047,8943,103,1919-01-10,1920-03-19,1,0,0
8048,8943,6,1920-03-19,1921-04-01,1,0,0
8049,8943,1,1921-04-01,1922-10-19,1,0,0
8050,8943,10,1918-01-01,1918-12-31,,1,1
8051,8417,66,1917-01-01,1921-12-31,,1,1
8052,8417,6,1921-04-01,1922-10-19,1,0,0
8053,8417,1,1922-11-15,1923-12-31,,1,1
8054,8417,2,1923-05-22,1924-01-21,1,0,0
8055,8417,37,1932-01-01,1934-12-31,,1,1
8056,8417,23,1931-10-27,1935-10-25,,1,1
8057,8417,2,1935-06-07,1937-05-27,1,0,0
8058,8417,2,1924-11-04,1929-06-04,1,0,0
8059,8829,2,1937-05-28,1940-05-09,1,0,0
8060,8829,1,1923-12-06,1924-12-31,,1,1
8061,8829,106,1923-12-06,1929-12-31,,1,1
8062,8829,55,1923-01-01,1923-12-31,,1,1
8063,8829,64,1922-01-01,1923-12-31,,1,1
8064,8829,94,1916-01-01,1917-12-31,,1,1
8065,8829,1,1931-10-27,1937-12-31,,1,1
8066,8829,106,1931-10-27,1931-12-31,,1,1
8067,8121,1,1924-10-29,1924-12-31,,1,1
8068,8121,1,1929-05-30,1931-12-31,,1,1
8069,8362,42,1910-01-01,1910-03-06,,0,1
8070,8362,12,1913-10-19,1915-05-25,1,0,0
8071,8362,19,1915-01-01,1916-12-31,,1,1
8072,8362,19,1935-11-14,1937-12-31,,1,1
8073,8362,21,1931-10-27,1935-10-25,,1,1
8074,8362,110,1935-01-01,1935-12-31,,1,1
8075,8362,1,1937-01-01,1940-12-31,,1,1
8076,9138,73,1918-01-01,1922-12-31,,1,1
8077,9138,4,1924-01-01,1929-12-31,,1,1
8078,9138,4,1931-01-01,1931-12-31,,1,1
8079,9138,64,1931-01-01,1935-12-31,,1,1
8080,9138,106,1935-11-14,1938-12-31,,1,1
8081,9138,101,1938-01-01,1940-12-31,,1,1
8082,9138,37,1940-01-01,1940-12-31,,1,1
8083,9138,1,1940-01-01,1943-12-31,,1,1
